# Time : Tue Apr 22 10:23:01 2014#
# scanner : True 
# color_dur : 0.333333333333 
# screen_number : 1 
# sf : 10 
# block_duration : 10 
# subject : EG009 
# radial_cyc : 10 
# fixation_size : 0.4 
# temporal_freq : 2 
# angular_cyc : 15 
# monitor : testMonitor 
# angular_width : 30 
# n_blocks : 20 
# full_screen : True 
# size : 60 
time,event 
2.14576721191e-06,red2 
0.338479995728,m1 
0.671926021576,m5 
1.00534391403,blue 
1.33888792992,m1 
1.67240810394,m3 
2.00581002235,blue 
2.33928704262,m3 
2.67291498184,red1 
3.00635910034,green 
3.33982610703,m2 
3.67337298393,m3 
4.00688695908,m5 
4.34037804604,blue 
4.67378807068,m6 
5.00736403465,m2 
5.34085607529,m1 
5.67425894737,m3 
6.00762701035,m6 
6.34124708176,red1 
6.67483091354,m3 
7.00816607475,m4 
7.34186911583,blue 
7.67511296272,m2 
8.00888395309,blue 
8.34230494499,green 
8.6758389473,m5 
9.00934195518,green 
9.3427131176,red2 
9.67613005638,blue 
10.0000059605,m1 
10.3337059021,m5 
10.6671719551,green 
11.0006630421,m6 
11.3341510296,m5 
11.6676478386,green 
12.0011508465,m1 
12.3347070217,green 
