# Time : Wed Apr 23 07:29:20 2014#
# scanner : True 
# color_dur : 0.333333333333 
# screen_number : 1 
# sf : 10 
# block_duration : 10 
# subject : EG009 
# radial_cyc : 10 
# fixation_size : 0.4 
# temporal_freq : 2 
# angular_cyc : 15 
# monitor : testMonitor 
# angular_width : 30 
# n_blocks : 20 
# full_screen : True 
# size : 60 
time,event 
1.90734863281e-06,red2 
0.349578857422,m1 
0.683053016663,m5 
1.01656389236,blue 
1.33344483376,m6 
1.66684484482,m2 
2.00039601326,m1 
2.33394289017,m2 
2.66749691963,m6 
3.00089287758,m3 
3.33446002007,m5 
3.66788887978,m2 
4.00140595436,red1 
4.33488488197,m5 
4.66837692261,red1 
5.00207185745,blue 
5.33536100388,green 
5.41864085197,key pressed 
5.6687400341,m6 
6.00234603882,red1 
6.335916996,m3 
6.63594985008,key pressed 
6.66932988167,blue 
7.00286793709,m6 
7.33629202843,m1 
7.66989588737,green 
8.00323796272,m4 
8.33677697182,red2 
8.67026090622,blue 
8.68670487404,key pressed 
9.00379490852,red1 
9.33720493317,m6 
9.67072296143,m4 
10.0000050068,m1 
10.3336648941,blue 
10.6671910286,m5 
11.000649929,m2 
11.3348920345,m5 
11.6682760715,red2 
12.0017709732,m6 
12.1351680756,key pressed 
12.3353390694,m5 
